AUC Performance (More is better),,
,,
,SW & History,HumanError
linux kernel,0.784598048558474,0.851702416054755
openssl,0.805556600050748,0.926625367633761
esp-idf,0.829931512301803,0.975385023143409
php-src,0.829870487839724,0.936008105511236
qemu,0.79529174534128,0.920327252586007
zfs,0.841535227045758,0.93471416950911
systemd,0.776668289631587,0.847034692379566
emscripten,0.8061254829616,0.928522726644965
zephyr,0.841321946488235,0.942311926199595
optee_os,0.868938184359498,0.94886752206079
FreeRDP,0.832652013649946,0.93991277633758
llvm-project,0.966157361245019,0.9945461425707
RetroArch,0.791245296580239,0.945075210552354
obs-studio,0.817467892378521,0.933304064205497
openwrt,0.883437667036465,0.985391657863568
gnucash,0.755432806538446,0.889242552300707
curl,0.801872089005226,0.880834099229914
redis,0.837978681000882,0.957284545850312
linux-rbpi,0.712862331388968,0.87160275256043
git,0.756219670130516,0.865340362491213
libuv,0.7291799910401,0.94232389622891
,0.8126,0.9246
