SHAP Values (More is better),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,num_authors,added_loc,changed_loc,num_changes,added_loc_loc,changed_loc_num_changes,added_loc_deleted_loc,num_all_lines,loc,deleted_loc,deleted_loc_loc,blank_lines,comments,author_exp_score2,author_commit_time_score2,author_commit_date_score2
linux kernel,0.012192,0.003589,0.0021,0.009948,0.00855,0.002905,0.005567,0.006021,0.00269,0.014127,0.01606,0.009848,0.002719,0.027449,0.00787,0.013454
openssl,0.062511,0.007395,0.009079,0.022936,0.01125,0.007708,0.00951,0.008598,0.008772,0.019641,0.026916,0.006469,0.001809,0.058163,0.020187,0.019955
esp-idf,0.031405,0.004419,0.004467,0.027769,0.014716,0.00754,0.006344,0.014482,0.008775,0.026493,0.031297,0.011655,0.003102,0.048319,0.021928,0.025304
php-src,0.039345,0.006636,0.005269,0.023887,0.022476,0.007672,0.009855,0.009328,0.012843,0.018933,0.020063,0.006856,0.005855,0.056359,0.040283,0.035176
qemu,0.016501,0.004041,0.004566,0.010496,0.010658,0.004368,0.005458,0.011004,0.006267,0.018854,0.017882,0.004644,0.004082,0.036957,0.012228,0.017939
zfs,0.032127,0.005372,0.009272,0.028614,0.013854,0.017731,0.010398,0.005255,0.005139,0.008957,0.012483,0.004006,0.007851,0.033495,0.032525,0.021794
systemd,0.014635,0.005969,0.007526,0.017714,0.007309,0.006012,0.006952,0.005125,0.005127,0.010759,0.011208,0.005297,0.005011,0.040943,0.024286,0.013733
emscripten,0.009723,0.004356,0.005455,0.010435,0.009831,0.007729,0.00783,0.007033,0.005596,0.009207,0.009661,0.01246,0.009417,0.030736,0.021497,0.012844
zephyr,0.023178,0.004852,0.005469,0.038193,0.011965,0.00732,0.007176,0.007501,0.004858,0.022046,0.026491,0.007477,0.003945,0.031124,0.018198,0.017037
optee_os,0.00882,0.00358,0.003859,0.01031,0.006152,0.006509,0.00517,0.004369,0.003141,0.020024,0.023271,0.008833,0.001515,0.024415,0.014726,0.023295
FreeRDP,0.065514,0.006634,0.007047,0.051394,0.017358,0.009851,0.011395,0.015732,0.015571,0.033757,0.030642,0.011075,0.001261,0.035123,0.062503,0.026756
llvm-project,0.003855,0.005851,0.025797,0.021175,0.008025,0.008663,0.008731,0.003795,0.004434,0.013409,0.019972,0.000685,0.000244,0.019496,0.050388,0.023367
RetroArch,0.032183,0.005767,0.006504,0.019329,0.01186,0.004995,0.009405,0.005664,0.005078,0.024376,0.021112,0.004061,0.001219,0.034869,0.036938,0.042643
obs-studio,0.039846,0.005407,0.00471,0.031062,0.008705,0.007928,0.006764,0.006527,0.005512,0.015626,0.018477,0.008962,0.000408,0.044476,0.026942,0.025214
openwrt,0.004824,0.003664,0.004717,0.004818,0.014883,0.005706,0.00424,0.006455,0.00783,0.010582,0.009512,0.004219,0.000563,0.015561,0.010993,0.008697
gnucash,0.010511,0.007808,0.007583,0.010448,0.007891,0.005865,0.009595,0.005619,0.005599,0.004311,0.006123,0.005476,0.006348,0.038695,0.022341,0.01244
curl,0.062331,0.018257,0.017414,0.031053,0.010092,0.00884,0.009168,0.01167,0.013232,0.00726,0.007877,0.007006,0.007542,0.038825,0.04197,0.015975
redis,0.026473,0.004333,0.004145,0.019284,0.014864,0.007957,0.005207,0.007773,0.006208,0.013056,0.012726,0.003368,0.003599,0.040782,0.034934,0.021688
linux-rbpi,0.004609,0.003988,0.003488,0.00259,0.036874,0.005312,0.016672,0.007994,0.004063,0.016245,0.026399,0.011068,0.002597,0.080704,0.014325,0.022811
git,0.033993,0.005482,0.005273,0.023528,0.009502,0.005659,0.0069,0.007678,0.007765,0.010775,0.012455,0.005073,0.002748,0.023908,0.025526,0.018746
libuv,0.010699,0.008427,0.007092,0.017296,0.023141,0.008139,0.016081,0.015082,0.015679,0.010512,0.01268,0.006778,0.004524,0.063974,0.0394,0.071764
,0.0260,0.0060,0.0072,0.0206,0.0133,0.0074,0.0085,0.0082,0.0073,0.0157,0.0178,0.0069,0.0036,0.0393,0.0276,0.0234
